date	NYC	SF
20120119	499000	500000
20030203	499000	501000
20060322	498000	502000
20110729	503000	503000
20030725	519000	503400
20000306	499000	504000
20031118	489000	505000
20040521	449000	505000
20040722	479000	505000
20120413	500000	505604
20040130	509000	509000
20040528	509000	509000
20020530	469000	510000
20040708	479000	510000
20040824	474000	510000
20061220	519000	510000
20080304	499000	510000
20100712	525000	510000
20100806	514000	510000
20120716	449000	510000
20010622	509000	511000
20090529	512027	512027
20010104	519000	515000
20031211	515000	515000
20040430	499000	515000
20040430	499000	515000
20040715	459000	515000
20041119	449000	515000
20050923	515000	515000
20100311	509000	515000
20100415	539900	515000
20120327	499000	515000
20121031	515000	515000
20121213	530300	515000
20100813	499000	515950
20040525	519000	519000
20040930	519000	519000
20050107	519000	519000
20090915	539000	519000
20120217	538000	519000
20120308	520000	519000
20010105	505000	520000
20010301	515000	520000
20040206	520000	520000
20040901	459000	520000
20050218	479000	520000
20090529	499000	520000
20100423	545000	520000
20100909	549000	520000
20121114	498500	520000
20090909	529000	524000
20120820	475000	524000
20000616	479000	525000
20001208	525000	525000
20001229	525000	525000
20011116	535000	525000
20040430	509000	525000
20040604	489000	525000
20040910	525000	525000
20041123	525000	525000
20100803	525000	525000
20000825	459000	527000
20001213	529000	529000
20030501	538000	529000
20030602	529000	529000
20040227	519000	529000
20040322	529000	529000
20040528	529000	529000
20040528	529000	529000
20090901	529000	529000
20100608	529000	529000
20120509	529000	529000
20020724	525000	530000
20020830	539000	530000
20030505	529000	530000
20030926	519000	530000
20040402	499000	530000
20040513	485000	530000
20040819	519000	530000
20041221	529000	530000
20050614	529000	530000
20090508	559000	530000
20100812	549000	530000
20120425	470000	530000
20040322	534000	534000
20120523	529000	534000
20000331	509000	535000
20001012	565000	535000
20040211	560000	535000
20041028	499000	535000
20041029	539000	535000
20041117	535000	535000
20041210	535000	535000
20060420	529000	535000
20060524	559000	535000
20090807	549000	535000
20100402	539000	535000
20100423	545000	535000
20100923	549000	535000
20111202	499000	535000
20120510	539000	535000
20041022	499000	536000
20120420	549000	537000
20030502	549000	537500
20030801	549000	539000
20031010	539000	539000
20040525	539000	539000
20040528	539000	539000
20040715	549000	539000
20040427	495000	540000
20050929	499000	540000
20100827	549000	540000
20040413	489000	541000
20040723	539000	542500
20030926	509000	543000
20040729	539000	545000
20070907	549000	545000
20110803	560000	545000
20111216	569000	545000
20120313	539000	545000
20040715	499000	548000
20080828	579899	548000
20041103	549000	549000
20041209	549000	549000
20100331	549900	549000
20100511	559000	549000
20040507	489000	550000
20040816	489000	550000
20040820	539000	550000
20040917	539000	550000
20041118	539000	550000
20050610	479000	550000
20100324	569000	550000
20121026	510000	550000
20040618	499000	551000
20040416	459000	552000
20090630	549900	552000
20000218	499000	555000
20011024	589000	555000
20041214	499000	555000
20060926	559000	555000
20070426	559000	555000
20120529	475000	555000
20120831	559000	555000
20121003	558000	555000
20121004	519000	555000
20040319	559000	559000
20040520	559000	559000
20040527	559000	559000
20040713	459000	559000
20041102	559000	559000
20061017	559000	559000
20081223	559000	559000
20010126	519000	560000
20030612	560000	560000
20040930	529000	560000
20041117	569000	560000
20050617	560000	560000
20050811	479000	560000
20081117	599000	560000
20110414	559000	560000
20120425	529000	560000
20120919	539000	560000
20121206	569000	560000
20130731	499000	560000
20041130	499000	561500
20060421	529000	561500
20040422	549000	565000
20040625	549000	565000
20040928	559000	565000
20041001	579000	565000
20041130	549000	565000
20061006	569000	565000
20091230	520000	565000
20120720	564000	565000
20120824	569000	565000
20121108	565000	565000
20080703	588000	568000
20000915	569000	569000
20010923	569000	569000
20090331	599000	569000
20120306	579000	569000
20040617	569500	569500
20000223	535000	570000
20040608	499000	570000
20040813	499000	570000
20051110	589000	570000
